areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,02/03/2021,6919
K02000001,United Kingdom,overview,03/03/2021,6172
K02000001,United Kingdom,overview,04/03/2021,5937
K02000001,United Kingdom,overview,05/03/2021,5467
K02000001,United Kingdom,overview,06/03/2021,4629
K02000001,United Kingdom,overview,07/03/2021,4410
K02000001,United Kingdom,overview,08/03/2021,6890
K02000001,United Kingdom,overview,09/03/2021,6488
K02000001,United Kingdom,overview,10/03/2021,6251
K02000001,United Kingdom,overview,11/03/2021,5934
K02000001,United Kingdom,overview,12/03/2021,5716
K02000001,United Kingdom,overview,13/03/2021,4379
K02000001,United Kingdom,overview,14/03/2021,4424
K02000001,United Kingdom,overview,15/03/2021,6697
K02000001,United Kingdom,overview,16/03/2021,5849
K02000001,United Kingdom,overview,17/03/2021,5976
K02000001,United Kingdom,overview,18/03/2021,5623
K02000001,United Kingdom,overview,19/03/2021,5176
K02000001,United Kingdom,overview,20/03/2021,4246
K02000001,United Kingdom,overview,21/03/2021,5388
K02000001,United Kingdom,overview,22/03/2021,6458
K02000001,United Kingdom,overview,23/03/2021,5481
K02000001,United Kingdom,overview,24/03/2021,6222
K02000001,United Kingdom,overview,25/03/2021,5616
K02000001,United Kingdom,overview,26/03/2021,4567
K02000001,United Kingdom,overview,27/03/2021,3731
K02000001,United Kingdom,overview,28/03/2021,5028
K02000001,United Kingdom,overview,29/03/2021,4195
K02000001,United Kingdom,overview,30/03/2021,3776
K02000001,United Kingdom,overview,31/03/2021,3967
K02000001,United Kingdom,overview,01/04/2021,3674
K02000001,United Kingdom,overview,02/04/2021,2747
K02000001,United Kingdom,overview,03/04/2021,2505
K02000001,United Kingdom,overview,04/04/2021,2411
K02000001,United Kingdom,overview,05/04/2021,2744
K02000001,United Kingdom,overview,06/04/2021,3311
K02000001,United Kingdom,overview,07/04/2021,3253
K02000001,United Kingdom,overview,08/04/2021,3148
K02000001,United Kingdom,overview,09/04/2021,2952
K02000001,United Kingdom,overview,10/04/2021,2380
K02000001,United Kingdom,overview,11/04/2021,2376
K02000001,United Kingdom,overview,12/04/2021,2878
K02000001,United Kingdom,overview,13/04/2021,2495
K02000001,United Kingdom,overview,14/04/2021,2512
K02000001,United Kingdom,overview,15/04/2021,2342
K02000001,United Kingdom,overview,16/04/2021,2347
K02000001,United Kingdom,overview,17/04/2021,1721
K02000001,United Kingdom,overview,18/04/2021,2584
K02000001,United Kingdom,overview,19/04/2021,2738
K02000001,United Kingdom,overview,20/04/2021,2541
K02000001,United Kingdom,overview,21/04/2021,2709
K02000001,United Kingdom,overview,22/04/2021,2409
K02000001,United Kingdom,overview,23/04/2021,2020
K02000001,United Kingdom,overview,24/04/2021,1564
K02000001,United Kingdom,overview,25/04/2021,2119
K02000001,United Kingdom,overview,26/04/2021,2625
K02000001,United Kingdom,overview,27/04/2021,2178
K02000001,United Kingdom,overview,28/04/2021,2498
K02000001,United Kingdom,overview,29/04/2021,2230
K02000001,United Kingdom,overview,30/04/2021,1825
K02000001,United Kingdom,overview,01/05/2021,1431
K02000001,United Kingdom,overview,02/05/2021,1521
K02000001,United Kingdom,overview,03/05/2021,2084
K02000001,United Kingdom,overview,04/05/2021,2550
K02000001,United Kingdom,overview,05/05/2021,2568
K02000001,United Kingdom,overview,06/05/2021,2325
K02000001,United Kingdom,overview,07/05/2021,1981
K02000001,United Kingdom,overview,08/05/2021,1606
K02000001,United Kingdom,overview,09/05/2021,2306
K02000001,United Kingdom,overview,10/05/2021,2808
K02000001,United Kingdom,overview,11/05/2021,2328
K02000001,United Kingdom,overview,12/05/2021,2335
K02000001,United Kingdom,overview,13/05/2021,2182
K02000001,United Kingdom,overview,14/05/2021,1936
K02000001,United Kingdom,overview,15/05/2021,1626
K02000001,United Kingdom,overview,16/05/2021,1922
K02000001,United Kingdom,overview,17/05/2021,2858
K02000001,United Kingdom,overview,18/05/2021,2812
K02000001,United Kingdom,overview,19/05/2021,2812
K02000001,United Kingdom,overview,20/05/2021,2517
K02000001,United Kingdom,overview,21/05/2021,2366
K02000001,United Kingdom,overview,22/05/2021,2000
K02000001,United Kingdom,overview,23/05/2021,2326
K02000001,United Kingdom,overview,24/05/2021,3368
K02000001,United Kingdom,overview,25/05/2021,3427
K02000001,United Kingdom,overview,26/05/2021,3921
K02000001,United Kingdom,overview,27/05/2021,3747
K02000001,United Kingdom,overview,28/05/2021,3589
K02000001,United Kingdom,overview,29/05/2021,2999
K02000001,United Kingdom,overview,30/05/2021,3164
K02000001,United Kingdom,overview,31/05/2021,3897
K02000001,United Kingdom,overview,01/06/2021,5431
K02000001,United Kingdom,overview,02/06/2021,6168
K02000001,United Kingdom,overview,03/06/2021,6256
K02000001,United Kingdom,overview,04/06/2021,5858
K02000001,United Kingdom,overview,05/06/2021,4731
K02000001,United Kingdom,overview,06/06/2021,5533
K02000001,United Kingdom,overview,07/06/2021,7945
K02000001,United Kingdom,overview,08/06/2021,7896
K02000001,United Kingdom,overview,09/06/2021,8209
K02000001,United Kingdom,overview,10/06/2021,8042
K02000001,United Kingdom,overview,11/06/2021,7619
K02000001,United Kingdom,overview,12/06/2021,6284
K02000001,United Kingdom,overview,13/06/2021,7134
K02000001,United Kingdom,overview,14/06/2021,10362
K02000001,United Kingdom,overview,15/06/2021,10795
K02000001,United Kingdom,overview,16/06/2021,11051
K02000001,United Kingdom,overview,17/06/2021,11106
K02000001,United Kingdom,overview,18/06/2021,10320
K02000001,United Kingdom,overview,19/06/2021,8445
K02000001,United Kingdom,overview,20/06/2021,10087
K02000001,United Kingdom,overview,21/06/2021,16307
K02000001,United Kingdom,overview,22/06/2021,17403
K02000001,United Kingdom,overview,23/06/2021,18350
K02000001,United Kingdom,overview,24/06/2021,18711
K02000001,United Kingdom,overview,25/06/2021,18169
K02000001,United Kingdom,overview,26/06/2021,16300
K02000001,United Kingdom,overview,27/06/2021,18502
K02000001,United Kingdom,overview,28/06/2021,28418
K02000001,United Kingdom,overview,29/06/2021,28200
K02000001,United Kingdom,overview,30/06/2021,28922
K02000001,United Kingdom,overview,01/07/2021,28794
K02000001,United Kingdom,overview,02/07/2021,26340
K02000001,United Kingdom,overview,03/07/2021,24006
K02000001,United Kingdom,overview,04/07/2021,25154
K02000001,United Kingdom,overview,05/07/2021,34896
K02000001,United Kingdom,overview,06/07/2021,36041
K02000001,United Kingdom,overview,07/07/2021,38594
K02000001,United Kingdom,overview,08/07/2021,33999
K02000001,United Kingdom,overview,09/07/2021,32799
K02000001,United Kingdom,overview,10/07/2021,28373
K02000001,United Kingdom,overview,11/07/2021,30502
K02000001,United Kingdom,overview,12/07/2021,44505
K02000001,United Kingdom,overview,13/07/2021,47702
K02000001,United Kingdom,overview,14/07/2021,54907
K02000001,United Kingdom,overview,15/07/2021,61996
K02000001,United Kingdom,overview,16/07/2021,55264
K02000001,United Kingdom,overview,17/07/2021,38472
K02000001,United Kingdom,overview,18/07/2021,36180
K02000001,United Kingdom,overview,19/07/2021,47910
K02000001,United Kingdom,overview,20/07/2021,39869
K02000001,United Kingdom,overview,21/07/2021,35535
K02000001,United Kingdom,overview,22/07/2021,31274
K02000001,United Kingdom,overview,23/07/2021,27764
K02000001,United Kingdom,overview,24/07/2021,22848
K02000001,United Kingdom,overview,25/07/2021,22173
K02000001,United Kingdom,overview,26/07/2021,29976
K02000001,United Kingdom,overview,27/07/2021,29574
K02000001,United Kingdom,overview,28/07/2021,30235
K02000001,United Kingdom,overview,29/07/2021,28428
K02000001,United Kingdom,overview,30/07/2021,24745
K02000001,United Kingdom,overview,31/07/2021,20568
K02000001,United Kingdom,overview,01/08/2021,20899
K02000001,United Kingdom,overview,02/08/2021,29834
K02000001,United Kingdom,overview,03/08/2021,30444
K02000001,United Kingdom,overview,04/08/2021,32336
K02000001,United Kingdom,overview,05/08/2021,31662
K02000001,United Kingdom,overview,06/08/2021,28058
K02000001,United Kingdom,overview,07/08/2021,22567
K02000001,United Kingdom,overview,08/08/2021,22879
K02000001,United Kingdom,overview,09/08/2021,32159
