,,Chatham Roadside,
Date,Time,PM10 Kent (Hourly measured),Status
14/03/2017,07:00:00,22.068,V ugm-3 (Ref.eq)
14/03/2017,08:00:00,25.846,V ugm-3 (Ref.eq)
14/03/2017,09:00:00,32.918,V ugm-3 (Ref.eq)
14/03/2017,10:00:00,33.16,V ugm-3 (Ref.eq)
14/03/2017,11:00:00,32.445,V ugm-3 (Ref.eq)
14/03/2017,12:00:00,24.899,V ugm-3 (Ref.eq)
14/03/2017,13:00:00,32.213,V ugm-3 (Ref.eq)
14/03/2017,14:00:00,28.203,V ugm-3 (Ref.eq)
14/03/2017,15:00:00,23.247,V ugm-3 (Ref.eq)
14/03/2017,16:00:00,23.488,V ugm-3 (Ref.eq)
14/03/2017,17:00:00,34.339,V ugm-3 (Ref.eq)
14/03/2017,18:00:00,35.749,V ugm-3 (Ref.eq)
14/03/2017,19:00:00,30.802,V ugm-3 (Ref.eq)
14/03/2017,20:00:00,27.498,V ugm-3 (Ref.eq)
14/03/2017,21:00:00,31.034,V ugm-3 (Ref.eq)
14/03/2017,22:00:00,31.266,V ugm-3 (Ref.eq)
14/03/2017,23:00:00,25.372,V ugm-3 (Ref.eq)
14/03/2017,24:00:00,27.257,V ugm-3 (Ref.eq)
15/03/2017,01:00:00,17.111,V ugm-3 (Ref.eq)
15/03/2017,02:00:00,23.488,V ugm-3 (Ref.eq)
15/03/2017,03:00:00,22.541,V ugm-3 (Ref.eq)
15/03/2017,04:00:00,32.687,V ugm-3 (Ref.eq)
15/03/2017,05:00:00,23.962,V ugm-3 (Ref.eq)
15/03/2017,06:00:00,26.551,V ugm-3 (Ref.eq)
15/03/2017,07:00:00,28.909,V ugm-3 (Ref.eq)
15/03/2017,08:00:00,33.624,V ugm-3 (Ref.eq)
15/03/2017,09:00:00,48.494,V ugm-3 (Ref.eq)
15/03/2017,10:00:00,39.527,V ugm-3 (Ref.eq)
15/03/2017,11:00:00,43.537,V ugm-3 (Ref.eq)
15/03/2017,12:00:00,35.518,V ugm-3 (Ref.eq)
15/03/2017,13:00:00,24.426,V ugm-3 (Ref.eq)
15/03/2017,14:00:00,32.687,V ugm-3 (Ref.eq)
15/03/2017,15:00:00,40.001,V ugm-3 (Ref.eq)
15/03/2017,16:00:00,41.885,V ugm-3 (Ref.eq)
15/03/2017,17:00:00,47.779,V ugm-3 (Ref.eq)
15/03/2017,18:00:00,54.156,V ugm-3 (Ref.eq)
15/03/2017,19:00:00,35.276,V ugm-3 (Ref.eq)
15/03/2017,20:00:00,32.687,V ugm-3 (Ref.eq)
15/03/2017,21:00:00,31.74,V ugm-3 (Ref.eq)
15/03/2017,22:00:00,20.657,V ugm-3 (Ref.eq)
15/03/2017,23:00:00,17.353,V ugm-3 (Ref.eq)
15/03/2017,24:00:00,14.995,V ugm-3 (Ref.eq)
16/03/2017,01:00:00,16.648,V ugm-3 (Ref.eq)
16/03/2017,02:00:00,21.121,V ugm-3 (Ref.eq)
16/03/2017,03:00:00,25.604,V ugm-3 (Ref.eq)
16/03/2017,04:00:00,25.846,V ugm-3 (Ref.eq)
16/03/2017,05:00:00,23.015,V ugm-3 (Ref.eq)
16/03/2017,06:00:00,22.541,V ugm-3 (Ref.eq)
16/03/2017,07:00:00,26.793,V ugm-3 (Ref.eq)
16/03/2017,08:00:00,31.74,V ugm-3 (Ref.eq)
16/03/2017,09:00:00,37.875,V ugm-3 (Ref.eq)
16/03/2017,10:00:00,36.455,V ugm-3 (Ref.eq)
16/03/2017,11:00:00,32.213,V ugm-3 (Ref.eq)
16/03/2017,12:00:00,42.117,V ugm-3 (Ref.eq)
16/03/2017,13:00:00,49.431,V ugm-3 (Ref.eq)
16/03/2017,14:00:00,42.358,V ugm-3 (Ref.eq)
16/03/2017,15:00:00,42.117,V ugm-3 (Ref.eq)
16/03/2017,16:00:00,43.769,V ugm-3 (Ref.eq)
16/03/2017,17:00:00,43.064,V ugm-3 (Ref.eq)
16/03/2017,18:00:00,53.914,V ugm-3 (Ref.eq)
16/03/2017,19:00:00,55.334,V ugm-3 (Ref.eq)
16/03/2017,20:00:00,36.455,V ugm-3 (Ref.eq)
16/03/2017,21:00:00,20.416,V ugm-3 (Ref.eq)
16/03/2017,22:00:00,14.522,V ugm-3 (Ref.eq)
16/03/2017,23:00:00,18.764,V ugm-3 (Ref.eq)
16/03/2017,24:00:00,20.184,V ugm-3 (Ref.eq)
17/03/2017,01:00:00,22.773,V ugm-3 (Ref.eq)
17/03/2017,02:00:00,16.406,V ugm-3 (Ref.eq)
17/03/2017,03:00:00,10.039,V ugm-3 (Ref.eq)
17/03/2017,04:00:00,8.628,V ugm-3 (Ref.eq)
17/03/2017,05:00:00,9.333,V ugm-3 (Ref.eq)
17/03/2017,06:00:00,14.995,V ugm-3 (Ref.eq)
17/03/2017,07:00:00,22.31,V ugm-3 (Ref.eq)
17/03/2017,08:00:00,27.025,V ugm-3 (Ref.eq)
17/03/2017,09:00:00,29.614,V ugm-3 (Ref.eq)
17/03/2017,10:00:00,26.551,V ugm-3 (Ref.eq)
17/03/2017,11:00:00,24.426,V ugm-3 (Ref.eq)
17/03/2017,12:00:00,23.488,V ugm-3 (Ref.eq)
17/03/2017,13:00:00,22.541,V ugm-3 (Ref.eq)
17/03/2017,14:00:00,22.541,V ugm-3 (Ref.eq)
17/03/2017,15:00:00,26.793,V ugm-3 (Ref.eq)
17/03/2017,16:00:00,29.614,V ugm-3 (Ref.eq)
17/03/2017,17:00:00,24.667,V ugm-3 (Ref.eq)
17/03/2017,18:00:00,24.899,V ugm-3 (Ref.eq)
17/03/2017,19:00:00,22.541,V ugm-3 (Ref.eq)
17/03/2017,20:00:00,23.72,V ugm-3 (Ref.eq)
17/03/2017,21:00:00,21.363,V ugm-3 (Ref.eq)
17/03/2017,22:00:00,13.575,V ugm-3 (Ref.eq)
17/03/2017,23:00:00,15.469,V ugm-3 (Ref.eq)
17/03/2017,24:00:00,13.575,V ugm-3 (Ref.eq)
18/03/2017,01:00:00,8.86,V ugm-3 (Ref.eq)
18/03/2017,02:00:00,7.449,V ugm-3 (Ref.eq)
18/03/2017,03:00:00,5.797,V ugm-3 (Ref.eq)
18/03/2017,04:00:00,3.44,V ugm-3 (Ref.eq)
18/03/2017,05:00:00,5.324,V ugm-3 (Ref.eq)
18/03/2017,06:00:00,9.565,V ugm-3 (Ref.eq)
18/03/2017,07:00:00,8.387,V ugm-3 (Ref.eq)
18/03/2017,08:00:00,9.565,V ugm-3 (Ref.eq)
18/03/2017,09:00:00,13.102,V ugm-3 (Ref.eq)
18/03/2017,10:00:00,15.469,V ugm-3 (Ref.eq)
