Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
East Ayrshire,2020-21,384922,419769,Total General Fund,Total General Fund,21
East Ayrshire,2021-22,15735,16770,Adult Social Care,Care Homes for Older People,22
East Ayrshire,2021-22,17933,19112,Adult Social Care,Homecare,22
East Ayrshire,2021-22,59765,63695,Adult Social Care,Other Spend On Over 18s,22
East Ayrshire,2021-22,942,1004,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
East Ayrshire,2021-22,1467,1563,Culture & Leisure,Libraries,22
East Ayrshire,2021-22,446,475,Culture & Leisure,Museums & Galleries,22
East Ayrshire,2021-22,1060,1130,Culture & Leisure,Sports Facilities,22
East Ayrshire,2021-22,13781,14687,Economic Development,Economic Development & Tourism,22
East Ayrshire,2021-22,25803,27500,Education,Pre-school,22
East Ayrshire,2021-22,57568,61354,Education,Primary,22
East Ayrshire,2021-22,54142,57703,Education,Secondary,22
East Ayrshire,2021-22,999,1065,Environmental Services,Street cleaning,22
East Ayrshire,2021-22,1987,2118,Environmental Services,Trading Standards & Env. Health,22
East Ayrshire,2021-22,5145,5483,Environmental Services,Waste Collection,22
East Ayrshire,2021-22,4988,5316,Environmental Services,Waste Disposal,22
East Ayrshire,2021-22,5997,6391,Looked After Children,Community,22
East Ayrshire,2021-22,7671,8175,Looked After Children,Residential,22
East Ayrshire,2021-22,3564,3798,Planning,Planning,22
East Ayrshire,2021-22,12492,13314,Roads,Roads,22
East Ayrshire,2021-22,11257,11997,Support Services,Support Services,22
East Ayrshire,2021-22,408521,435387,Total General Fund,Total General Fund,22
East Ayrshire,2022-23,17406,17406,Adult Social Care,Care Homes for Older People,23
East Ayrshire,2022-23,18286,18286,Adult Social Care,Homecare,23
East Ayrshire,2022-23,57589,57589,Adult Social Care,Other Spend On Over 18s,23
East Ayrshire,2022-23,1369,1369,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
East Ayrshire,2022-23,1541,1541,Culture & Leisure,Libraries,23
East Ayrshire,2022-23,440,440,Culture & Leisure,Museums & Galleries,23
East Ayrshire,2022-23,1384,1384,Culture & Leisure,Sports Facilities,23
East Ayrshire,2022-23,8056,8056,Economic Development,Economic Development & Tourism,23
East Ayrshire,2022-23,29183,29183,Education,Pre-school,23
East Ayrshire,2022-23,61930,61930,Education,Primary,23
East Ayrshire,2022-23,58361,58361,Education,Secondary,23
East Ayrshire,2022-23,1074,1074,Environmental Services,Street cleaning,23
East Ayrshire,2022-23,2107,2107,Environmental Services,Trading Standards & Env. Health,23
East Ayrshire,2022-23,5829,5829,Environmental Services,Waste Collection,23
East Ayrshire,2022-23,5415,5415,Environmental Services,Waste Disposal,23
East Ayrshire,2022-23,5432,5432,Looked After Children,Community,23
East Ayrshire,2022-23,9500,9500,Looked After Children,Residential,23
East Ayrshire,2022-23,2095,2095,Planning,Planning,23
East Ayrshire,2022-23,9977,9977,Roads,Roads,23
East Ayrshire,2022-23,11547,11547,Support Services,Support Services,23
East Ayrshire,2022-23,417422,417422,Total General Fund,Total General Fund,23
East Dunbartonshire,2010-11,9359,12209,Adult Social Care,Care Homes for Older People,11
East Dunbartonshire,2010-11,9334,12176,Adult Social Care,Homecare,11
East Dunbartonshire,2010-11,21999,28698,Adult Social Care,Other Spend On Over 18s,11
East Dunbartonshire,2010-11,2511,3276,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
East Dunbartonshire,2010-11,2787,3636,Culture & Leisure,Libraries,11
East Dunbartonshire,2010-11,468,611,Culture & Leisure,Museums & Galleries,11
East Dunbartonshire,2010-11,5942,7752,Culture & Leisure,Sports Facilities,11
East Dunbartonshire,2010-11,2140,2792,Economic Development,Economic Development & Tourism,11
East Dunbartonshire,2010-11,5847,7628,Education,Pre-school,11
East Dunbartonshire,2010-11,39448,51461,Education,Primary,11
East Dunbartonshire,2010-11,59489,77605,Education,Secondary,11
East Dunbartonshire,2010-11,1248,1628,Environmental Services,Street cleaning,11
East Dunbartonshire,2010-11,2093,2730,Environmental Services,Trading Standards & Env. Health,11
East Dunbartonshire,2010-11,5086,6635,Environmental Services,Waste Collection,11
East Dunbartonshire,2010-11,5123,6683,Environmental Services,Waste Disposal,11
East Dunbartonshire,2010-11,1478,1928,Looked After Children,Community,11
East Dunbartonshire,2010-11,2866,3739,Looked After Children,Residential,11
East Dunbartonshire,2010-11,2230,2909,Planning,Planning,11
East Dunbartonshire,2010-11,19553,25507,Roads,Roads,11
East Dunbartonshire,2010-11,16161,21082,Support Services,Support Services,11
East Dunbartonshire,2010-11,260230,339477,Total General Fund,Total General Fund,11
East Dunbartonshire,2011-12,18789,24086,Adult Social Care,Care Homes for Older People,12
East Dunbartonshire,2011-12,9829,12600,Adult Social Care,Homecare,12
East Dunbartonshire,2011-12,29894,38322,Adult Social Care,Other Spend On Over 18s,12
East Dunbartonshire,2011-12,2350,3013,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
East Dunbartonshire,2011-12,2306,2956,Culture & Leisure,Libraries,12
East Dunbartonshire,2011-12,346,444,Culture & Leisure,Museums & Galleries,12
East Dunbartonshire,2011-12,3041,3898,Culture & Leisure,Sports Facilities,12
East Dunbartonshire,2011-12,2707,3470,Economic Development,Economic Development & Tourism,12
East Dunbartonshire,2011-12,5391,6911,Education,Pre-school,12
East Dunbartonshire,2011-12,38966,49952,Education,Primary,12
East Dunbartonshire,2011-12,48792,62548,Education,Secondary,12
East Dunbartonshire,2011-12,1094,1402,Environmental Services,Street cleaning,12
East Dunbartonshire,2011-12,2194,2813,Environmental Services,Trading Standards & Env. Health,12
East Dunbartonshire,2011-12,5293,6785,Environmental Services,Waste Collection,12
East Dunbartonshire,2011-12,4618,5920,Environmental Services,Waste Disposal,12
East Dunbartonshire,2011-12,1373,1760,Looked After Children,Community,12
East Dunbartonshire,2011-12,3638,4664,Looked After Children,Residential,12
East Dunbartonshire,2011-12,1788,2292,Planning,Planning,12
East Dunbartonshire,2011-12,9960,12768,Roads,Roads,12
East Dunbartonshire,2011-12,12645,16210,Support Services,Support Services,12
East Dunbartonshire,2011-12,253708,325237,Total General Fund,Total General Fund,12
East Dunbartonshire,2012-13,20647,25991,Adult Social Care,Care Homes for Older People,13
East Dunbartonshire,2012-13,10038,12636,Adult Social Care,Homecare,13
East Dunbartonshire,2012-13,30177,37988,Adult Social Care,Other Spend On Over 18s,13
East Dunbartonshire,2012-13,2433,3063,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
East Dunbartonshire,2012-13,2232,2810,Culture & Leisure,Libraries,13
East Dunbartonshire,2012-13,328,413,Culture & Leisure,Museums & Galleries,13
East Dunbartonshire,2012-13,2944,3706,Culture & Leisure,Sports Facilities,13
East Dunbartonshire,2012-13,3487,4390,Economic Development,Economic Development & Tourism,13
East Dunbartonshire,2012-13,5359,6746,Education,Pre-school,13
East Dunbartonshire,2012-13,38784,48822,Education,Primary,13
East Dunbartonshire,2012-13,49019,61707,Education,Secondary,13
East Dunbartonshire,2012-13,1856,2336,Environmental Services,Street cleaning,13
East Dunbartonshire,2012-13,2056,2588,Environmental Services,Trading Standards & Env. Health,13
East Dunbartonshire,2012-13,4077,5132,Environmental Services,Waste Collection,13
East Dunbartonshire,2012-13,5207,6555,Environmental Services,Waste Disposal,13
East Dunbartonshire,2012-13,1463,1842,Looked After Children,Community,13
East Dunbartonshire,2012-13,2748,3459,Looked After Children,Residential,13
East Dunbartonshire,2012-13,1605,2020,Planning,Planning,13
East Dunbartonshire,2012-13,12035,15150,Roads,Roads,13
East Dunbartonshire,2012-13,12938,16287,Support Services,Support Services,13
East Dunbartonshire,2012-13,257897,324648,Total General Fund,Total General Fund,13
East Dunbartonshire,2013-14,22824,28189,Adult Social Care,Care Homes for Older People,14
East Dunbartonshire,2013-14,11171,13797,Adult Social Care,Homecare,14
East Dunbartonshire,2013-14,32410,40029,Adult Social Care,Other Spend On Over 18s,14
East Dunbartonshire,2013-14,3277,4047,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
East Dunbartonshire,2013-14,2200,2717,Culture & Leisure,Libraries,14
East Dunbartonshire,2013-14,292,361,Culture & Leisure,Museums & Galleries,14
East Dunbartonshire,2013-14,2470,3051,Culture & Leisure,Sports Facilities,14
East Dunbartonshire,2013-14,3154,3895,Economic Development,Economic Development & Tourism,14
East Dunbartonshire,2013-14,5267,6505,Education,Pre-school,14
East Dunbartonshire,2013-14,38591,47663,Education,Primary,14
East Dunbartonshire,2013-14,49678,61356,Education,Secondary,14
East Dunbartonshire,2013-14,810,1000,Environmental Services,Street cleaning,14
East Dunbartonshire,2013-14,2157,2664,Environmental Services,Trading Standards & Env. Health,14
East Dunbartonshire,2013-14,4944,6106,Environmental Services,Waste Collection,14
East Dunbartonshire,2013-14,4677,5776,Environmental Services,Waste Disposal,14
East Dunbartonshire,2013-14,1386,1712,Looked After Children,Community,14
East Dunbartonshire,2013-14,3598,4444,Looked After Children,Residential,14
East Dunbartonshire,2013-14,1624,2006,Planning,Planning,14
East Dunbartonshire,2013-14,8578,10595,Roads,Roads,14
East Dunbartonshire,2013-14,13168,16264,Support Services,Support Services,14
East Dunbartonshire,2013-14,263771,325778,Total General Fund,Total General Fund,14
East Dunbartonshire,2014-15,25069,30590,Adult Social Care,Care Homes for Older People,15
East Dunbartonshire,2014-15,11703,14280,Adult Social Care,Homecare,15
East Dunbartonshire,2014-15,31087,37934,Adult Social Care,Other Spend On Over 18s,15
East Dunbartonshire,2014-15,3137,3828,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
East Dunbartonshire,2014-15,2350,2868,Culture & Leisure,Libraries,15
East Dunbartonshire,2014-15,222,271,Culture & Leisure,Museums & Galleries,15
East Dunbartonshire,2014-15,2393,2920,Culture & Leisure,Sports Facilities,15
East Dunbartonshire,2014-15,3040,3710,Economic Development,Economic Development & Tourism,15
East Dunbartonshire,2014-15,6056,7390,Education,Pre-school,15
East Dunbartonshire,2014-15,39860,48639,Education,Primary,15
East Dunbartonshire,2014-15,50622,61771,Education,Secondary,15
East Dunbartonshire,2014-15,1366,1667,Environmental Services,Street cleaning,15
East Dunbartonshire,2014-15,2148,2621,Environmental Services,Trading Standards & Env. Health,15
East Dunbartonshire,2014-15,3954,4825,Environmental Services,Waste Collection,15
East Dunbartonshire,2014-15,5638,6880,Environmental Services,Waste Disposal,15
East Dunbartonshire,2014-15,1081,1319,Looked After Children,Community,15
East Dunbartonshire,2014-15,3136,3827,Looked After Children,Residential,15
East Dunbartonshire,2014-15,1742,2126,Planning,Planning,15
East Dunbartonshire,2014-15,9137,11149,Roads,Roads,15
East Dunbartonshire,2014-15,13205,16113,Support Services,Support Services,15
East Dunbartonshire,2014-15,269010,328256,Total General Fund,Total General Fund,15
East Dunbartonshire,2015-16,27437,33240,Adult Social Care,Care Homes for Older People,16
East Dunbartonshire,2015-16,11408,13821,Adult Social Care,Homecare,16
East Dunbartonshire,2015-16,31194,37792,Adult Social Care,Other Spend On Over 18s,16
East Dunbartonshire,2015-16,3034,3676,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
East Dunbartonshire,2015-16,2325,2817,Culture & Leisure,Libraries,16
East Dunbartonshire,2015-16,186,225,Culture & Leisure,Museums & Galleries,16
East Dunbartonshire,2015-16,2285,2768,Culture & Leisure,Sports Facilities,16
East Dunbartonshire,2015-16,2848,3450,Economic Development,Economic Development & Tourism,16
East Dunbartonshire,2015-16,6693,8109,Education,Pre-school,16
East Dunbartonshire,2015-16,39615,47994,Education,Primary,16
East Dunbartonshire,2015-16,50143,60749,Education,Secondary,16
East Dunbartonshire,2015-16,756,916,Environmental Services,Street cleaning,16
East Dunbartonshire,2015-16,1971,2388,Environmental Services,Trading Standards & Env. Health,16
East Dunbartonshire,2015-16,3686,4466,Environmental Services,Waste Collection,16
East Dunbartonshire,2015-16,5912,7163,Environmental Services,Waste Disposal,16
East Dunbartonshire,2015-16,1348,1633,Looked After Children,Community,16
East Dunbartonshire,2015-16,3376,4090,Looked After Children,Residential,16
East Dunbartonshire,2015-16,1956,2370,Planning,Planning,16
East Dunbartonshire,2015-16,12126,14691,Roads,Roads,16
East Dunbartonshire,2015-16,13571,16442,Support Services,Support Services,16
East Dunbartonshire,2015-16,272017,329554,Total General Fund,Total General Fund,16
East Dunbartonshire,2016-17,13575,16081,Adult Social Care,Care Homes for Older People,17
East Dunbartonshire,2016-17,11811,13991,Adult Social Care,Homecare,17
East Dunbartonshire,2016-17,30182,35753,Adult Social Care,Other Spend On Over 18s,17
East Dunbartonshire,2016-17,3137,3716,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
East Dunbartonshire,2016-17,2305,2730,Culture & Leisure,Libraries,17
East Dunbartonshire,2016-17,183,217,Culture & Leisure,Museums & Galleries,17
East Dunbartonshire,2016-17,2391,2832,Culture & Leisure,Sports Facilities,17
East Dunbartonshire,2016-17,4139,4903,Economic Development,Economic Development & Tourism,17
East Dunbartonshire,2016-17,7321,8672,Education,Pre-school,17
East Dunbartonshire,2016-17,42389,50213,Education,Primary,17
East Dunbartonshire,2016-17,52443,62123,Education,Secondary,17
East Dunbartonshire,2016-17,730,865,Environmental Services,Street cleaning,17
East Dunbartonshire,2016-17,1789,2119,Environmental Services,Trading Standards & Env. Health,17
East Dunbartonshire,2016-17,3915,4638,Environmental Services,Waste Collection,17
East Dunbartonshire,2016-17,6175,7315,Environmental Services,Waste Disposal,17
East Dunbartonshire,2016-17,1386,1642,Looked After Children,Community,17
East Dunbartonshire,2016-17,4538,5376,Looked After Children,Residential,17
East Dunbartonshire,2016-17,2333,2764,Planning,Planning,17
East Dunbartonshire,2016-17,13978,16558,Roads,Roads,17
East Dunbartonshire,2016-17,14345,16993,Support Services,Support Services,17
East Dunbartonshire,2016-17,275137,325921,Total General Fund,Total General Fund,17
East Dunbartonshire,2017-18,14071,16411,Adult Social Care,Care Homes for Older People,18
East Dunbartonshire,2017-18,12009,14006,Adult Social Care,Homecare,18
East Dunbartonshire,2017-18,33882,39517,Adult Social Care,Other Spend On Over 18s,18
East Dunbartonshire,2017-18,3159,3684,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
East Dunbartonshire,2017-18,2481,2894,Culture & Leisure,Libraries,18
East Dunbartonshire,2017-18,201,234,Culture & Leisure,Museums & Galleries,18
East Dunbartonshire,2017-18,2533,2954,Culture & Leisure,Sports Facilities,18
East Dunbartonshire,2017-18,2906,3389,Economic Development,Economic Development & Tourism,18
East Dunbartonshire,2017-18,7919,9236,Education,Pre-school,18
East Dunbartonshire,2017-18,42296,49330,Education,Primary,18
East Dunbartonshire,2017-18,53951,62924,Education,Secondary,18
East Dunbartonshire,2017-18,556,648,Environmental Services,Street cleaning,18
East Dunbartonshire,2017-18,2000,2333,Environmental Services,Trading Standards & Env. Health,18
East Dunbartonshire,2017-18,4353,5077,Environmental Services,Waste Collection,18
East Dunbartonshire,2017-18,5296,6177,Environmental Services,Waste Disposal,18
East Dunbartonshire,2017-18,1710,1994,Looked After Children,Community,18
East Dunbartonshire,2017-18,5085,5931,Looked After Children,Residential,18
East Dunbartonshire,2017-18,2289,2670,Planning,Planning,18
East Dunbartonshire,2017-18,10859,12665,Roads,Roads,18
East Dunbartonshire,2017-18,14257,16628,Support Services,Support Services,18
East Dunbartonshire,2017-18,273356,318818,Total General Fund,Total General Fund,18
