Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2020-21,16082,17538,Environmental Services,Waste Disposal,21
Aberdeen City,2020-21,14593,15914,Looked After Children,Community,21
Aberdeen City,2020-21,12105,13201,Looked After Children,Residential,21
Aberdeen City,2020-21,3626,3954,Planning,Planning,21
Aberdeen City,2020-21,64342,70167,Roads,Roads,21
Aberdeen City,2020-21,24849,27099,Support Services,Support Services,21
Aberdeen City,2020-21,666458,726793,Total General Fund,Total General Fund,21
Aberdeen City,2021-22,64097,68312,Adult Social Care,Care Homes for Older People,22
Aberdeen City,2021-22,11855,12635,Adult Social Care,Homecare,22
Aberdeen City,2021-22,74162,79039,Adult Social Care,Other Spend On Over 18s,22
Aberdeen City,2021-22,3846,4099,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Aberdeen City,2021-22,3344,3564,Culture & Leisure,Libraries,22
Aberdeen City,2021-22,4404,4694,Culture & Leisure,Museums & Galleries,22
Aberdeen City,2021-22,7595,8094,Culture & Leisure,Sports Facilities,22
Aberdeen City,2021-22,15172,16170,Economic Development,Economic Development & Tourism,22
Aberdeen City,2021-22,35029,37333,Education,Pre-school,22
Aberdeen City,2021-22,83204,88676,Education,Primary,22
Aberdeen City,2021-22,71422,76119,Education,Secondary,22
Aberdeen City,2021-22,2055,2190,Environmental Services,Street cleaning,22
Aberdeen City,2021-22,4864,5184,Environmental Services,Trading Standards & Env. Health,22
Aberdeen City,2021-22,8767,9344,Environmental Services,Waste Collection,22
Aberdeen City,2021-22,16646,17741,Environmental Services,Waste Disposal,22
Aberdeen City,2021-22,14017,14939,Looked After Children,Community,22
Aberdeen City,2021-22,11893,12675,Looked After Children,Residential,22
Aberdeen City,2021-22,3658,3899,Planning,Planning,22
Aberdeen City,2021-22,72412,77174,Roads,Roads,22
Aberdeen City,2021-22,20924,22300,Support Services,Support Services,22
Aberdeen City,2021-22,677292,721834,Total General Fund,Total General Fund,22
Aberdeen City,2022-23,74134,74134,Adult Social Care,Care Homes for Older People,23
Aberdeen City,2022-23,12530,12530,Adult Social Care,Homecare,23
Aberdeen City,2022-23,86036,86036,Adult Social Care,Other Spend On Over 18s,23
Aberdeen City,2022-23,6993,6993,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Aberdeen City,2022-23,4091,4091,Culture & Leisure,Libraries,23
Aberdeen City,2022-23,4813,4813,Culture & Leisure,Museums & Galleries,23
Aberdeen City,2022-23,8109,8109,Culture & Leisure,Sports Facilities,23
Aberdeen City,2022-23,9866,9866,Economic Development,Economic Development & Tourism,23
Aberdeen City,2022-23,34553,34553,Education,Pre-school,23
Aberdeen City,2022-23,93174,93174,Education,Primary,23
Aberdeen City,2022-23,81304,81304,Education,Secondary,23
Aberdeen City,2022-23,2555,2555,Environmental Services,Street cleaning,23
