,,Chatham Roadside,
Date,Time,Nitrogen dioxide,Status
18/03/2017,05:00:00,1.13284,V ugm-3
18/03/2017,06:00:00,1.89911,V ugm-3
18/03/2017,07:00:00,5.67248,V ugm-3
18/03/2017,08:00:00,7.73511,V ugm-3
18/03/2017,09:00:00,11.88284,V ugm-3
18/03/2017,10:00:00,17.53715,V ugm-3
18/03/2017,11:00:00,16.18836,V ugm-3
18/03/2017,12:00:00,29.23208,V ugm-3
18/03/2017,13:00:00,20.81565,V ugm-3
18/03/2017,14:00:00,17.12548,V ugm-3
18/03/2017,15:00:00,26.20173,V ugm-3
18/03/2017,16:00:00,21.13313,V ugm-3
18/03/2017,17:00:00,18.1415,V ugm-3
18/03/2017,18:00:00,22.86585,V ugm-3
18/03/2017,19:00:00,29.23304,V ugm-3
18/03/2017,20:00:00,23.34876,V ugm-3
18/03/2017,21:00:00,14.73533,V ugm-3
18/03/2017,22:00:00,8.72674,V ugm-3
18/03/2017,23:00:00,7.04326,V ugm-3
18/03/2017,24:00:00,5.88237,V ugm-3
19/03/2017,01:00:00,2.97203,V ugm-3
19/03/2017,02:00:00,1.72635,V ugm-3
19/03/2017,03:00:00,1.45685,V ugm-3
19/03/2017,04:00:00,No data,V ugm-3
19/03/2017,05:00:00,1.21316,V ugm-3
19/03/2017,06:00:00,1.35309,V ugm-3
19/03/2017,07:00:00,1.95203,V ugm-3
19/03/2017,08:00:00,3.47645,V ugm-3
19/03/2017,09:00:00,4.72483,V ugm-3
19/03/2017,10:00:00,8.64068,V ugm-3
19/03/2017,11:00:00,9.14605,V ugm-3
19/03/2017,12:00:00,8.43078,V ugm-3
19/03/2017,13:00:00,13.21107,V ugm-3
19/03/2017,14:00:00,13.78673,V ugm-3
19/03/2017,15:00:00,8.16829,V ugm-3
19/03/2017,16:00:00,9.92779,V ugm-3
19/03/2017,17:00:00,9.90388,V ugm-3
19/03/2017,18:00:00,12.05831,V ugm-3
19/03/2017,19:00:00,12.63254,V ugm-3
19/03/2017,20:00:00,11.71502,V ugm-3
19/03/2017,21:00:00,8.88213,V ugm-3
19/03/2017,22:00:00,6.75399,V ugm-3
19/03/2017,23:00:00,5.23786,V ugm-3
19/03/2017,24:00:00,2.21659,V ugm-3
20/03/2017,01:00:00,1.07482,V ugm-3
20/03/2017,02:00:00,No data,V ugm-3
20/03/2017,03:00:00,No data,V ugm-3
20/03/2017,04:00:00,No data,V ugm-3
20/03/2017,05:00:00,1.26847,V ugm-3
20/03/2017,06:00:00,3.40138,V ugm-3
20/03/2017,07:00:00,10.67079,V ugm-3
20/03/2017,08:00:00,19.82306,V ugm-3
20/03/2017,09:00:00,22.42837,V ugm-3
20/03/2017,10:00:00,19.24501,V ugm-3
20/03/2017,11:00:00,14.33467,V ugm-3
20/03/2017,12:00:00,25.17663,V ugm-3
20/03/2017,13:00:00,13.34017,V ugm-3
20/03/2017,14:00:00,17.97272,V ugm-3
20/03/2017,15:00:00,14.79893,V ugm-3
20/03/2017,16:00:00,24.96482,V ugm-3
20/03/2017,17:00:00,32.49242,V ugm-3
20/03/2017,18:00:00,48.81178,V ugm-3
20/03/2017,19:00:00,39.69442,V ugm-3
20/03/2017,20:00:00,35.68343,V ugm-3
20/03/2017,21:00:00,22.98729,V ugm-3
20/03/2017,22:00:00,23.80489,V ugm-3
20/03/2017,23:00:00,17.48647,V ugm-3
20/03/2017,24:00:00,11.68203,V ugm-3
21/03/2017,01:00:00,8.62155,V ugm-3
21/03/2017,02:00:00,8.5119,V ugm-3
21/03/2017,03:00:00,7.25507,V ugm-3
21/03/2017,04:00:00,3.83791,V ugm-3
21/03/2017,05:00:00,2.48003,V ugm-3
21/03/2017,06:00:00,10.1592,V ugm-3
21/03/2017,07:00:00,23.52184,V ugm-3
21/03/2017,08:00:00,34.14769,V ugm-3
21/03/2017,09:00:00,38.18545,V ugm-3
21/03/2017,10:00:00,32.36651,V ugm-3
21/03/2017,11:00:00,24.44366,V ugm-3
21/03/2017,12:00:00,25.20053,V ugm-3
21/03/2017,13:00:00,18.0344,V ugm-3
21/03/2017,14:00:00,20.58854,V ugm-3
21/03/2017,15:00:00,27.23974,V ugm-3
21/03/2017,16:00:00,43.32195,V ugm-3
21/03/2017,17:00:00,27.68774,V ugm-3
21/03/2017,18:00:00,35.15366,V ugm-3
21/03/2017,19:00:00,30.57657,V ugm-3
21/03/2017,20:00:00,37.03652,V ugm-3
21/03/2017,21:00:00,31.30045,V ugm-3
21/03/2017,22:00:00,22.28445,V ugm-3
21/03/2017,23:00:00,12.54743,V ugm-3
21/03/2017,24:00:00,4.24384,V ugm-3
22/03/2017,01:00:00,1.90421,V ugm-3
22/03/2017,02:00:00,1.36234,V ugm-3
22/03/2017,03:00:00,2.56849,V ugm-3
22/03/2017,04:00:00,3.86899,V ugm-3
22/03/2017,05:00:00,5.86612,V ugm-3
22/03/2017,06:00:00,8.24861,V ugm-3
22/03/2017,07:00:00,7.49939,V ugm-3
22/03/2017,08:00:00,7.64283,V ugm-3
22/03/2017,09:00:00,6.3232,V ugm-3
22/03/2017,10:00:00,5.20535,V ugm-3
22/03/2017,11:00:00,11.92635,V ugm-3
22/03/2017,12:00:00,6.42218,V ugm-3
22/03/2017,13:00:00,8.58378,V ugm-3
22/03/2017,14:00:00,7.10924,V ugm-3
22/03/2017,15:00:00,19.16851,V ugm-3
22/03/2017,16:00:00,46.05443,V ugm-3
22/03/2017,17:00:00,24.72958,V ugm-3
22/03/2017,18:00:00,15.60983,V ugm-3
22/03/2017,19:00:00,26.59331,V ugm-3
22/03/2017,20:00:00,17.18094,V ugm-3
22/03/2017,21:00:00,36.21845,V ugm-3
22/03/2017,22:00:00,35.59641,V ugm-3
22/03/2017,23:00:00,39.26936,V ugm-3
22/03/2017,24:00:00,21.3086,V ugm-3
23/03/2017,01:00:00,10.09736,V ugm-3
23/03/2017,02:00:00,4.53964,V ugm-3
23/03/2017,03:00:00,9.05138,V ugm-3
23/03/2017,04:00:00,10.3012,V ugm-3
23/03/2017,05:00:00,13.02652,V ugm-3
23/03/2017,06:00:00,15.22207,V ugm-3
23/03/2017,07:00:00,20.96148,V ugm-3
23/03/2017,08:00:00,25.89621,V ugm-3
23/03/2017,09:00:00,27.37744,V ugm-3
23/03/2017,10:00:00,16.95336,V ugm-3
23/03/2017,11:00:00,16.13194,V ugm-3
23/03/2017,12:00:00,20.59954,V ugm-3
23/03/2017,13:00:00,20.14484,V ugm-3
23/03/2017,14:00:00,20.55077,V ugm-3
23/03/2017,15:00:00,22.1042,V ugm-3
23/03/2017,16:00:00,20.18548,V ugm-3
23/03/2017,17:00:00,17.20055,V ugm-3
23/03/2017,18:00:00,21.16946,V ugm-3
23/03/2017,19:00:00,22.93661,V ugm-3
23/03/2017,20:00:00,15.53906,V ugm-3
23/03/2017,21:00:00,17.03894,V ugm-3
23/03/2017,22:00:00,14.74681,V ugm-3
23/03/2017,23:00:00,15.53715,V ugm-3
23/03/2017,24:00:00,14.37053,V ugm-3
24/03/2017,01:00:00,20.19472,V ugm-3
24/03/2017,02:00:00,10.23188,V ugm-3
