LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
Aberdeen City,CORP01,2011-12,0.06,30197.00,520554.00
Aberdeen City,CORP01,2012-13,0.04,21848.00,504465.00
Aberdeen City,CORP01,2013-14,0.05,25904.00,526860.00
Aberdeen City,CORP01,2014-15,0.04,23348.00,564607.00
Aberdeen City,CORP01,2015-16,0.05,26803.00,587396.00
Aberdeen City,CORP01,2016-17,0.04,25956.00,588822.00
Aberdeen City,CORP01,2017-18,0.05,29129.00,586167.00
Aberdeen City,CORP01,2018-19,0.04,21793.00,590063.00
Aberdeen City,CORP01,2019-20,0.03,23346.00,697583.00
Aberdeen City,CORP01,2020-21,0.04,24849.00,666458.00
Aberdeen City,CORP01,2021-22,0.03,20924.00,677292.00
Aberdeen City,CORP03b,2010-11,0.47,174.00,373.00
Aberdeen City,CORP03b,2011-12,0.45,194.00,432.00
Aberdeen City,CORP03b,2012-13,0.50,158.00,318.00
Aberdeen City,CORP03b,2013-14,0.47,144.00,306.00
Aberdeen City,CORP03b,2014-15,0.48,156.00,322.00
Aberdeen City,CORP03b,2015-16,0.49,145.00,295.00
Aberdeen City,CORP03b,2016-17,0.49,132.00,272.00
Aberdeen City,CORP03b,2017-18,0.65,161.00,249.00
Aberdeen City,CORP03b,2018-19,0.51,128.00,251.00
Aberdeen City,CORP03b,2019-20,0.60,176.00,295.00
Aberdeen City,CORP03b,2020-21,0.58,172.00,296.00
Aberdeen City,CORP03b,2021-22,0.58,185.00,319.00
Aberdeen City,CORP03b,2022-23,0.54,160.00,295.00
Aberdeen City,CORP03c,2015-16,0.00,14.84,14.87
Aberdeen City,CORP03c,2016-17,0.00,15.21,15.17
Aberdeen City,CORP03c,2017-18,0.02,13.83,13.60
Aberdeen City,CORP03c,2018-19,-0.01,16.04,16.13
Aberdeen City,CORP03c,2019-20,-0.06,16.56,17.49
Aberdeen City,CORP03c,2020-21,-0.06,16.71,17.64
Aberdeen City,CORP03c,2021-22,-0.04,16.67,17.29
Aberdeen City,CORP03c,2022-23,-0.06,18.15,19.27
Aberdeen City,CORP04,2010-11,12.96,1441115.00,111186.00
Aberdeen City,CORP04,2011-12,9.93,1109455.00,111759.00
Aberdeen City,CORP04,2012-13,9.90,1112608.00,112423.00
Aberdeen City,CORP04,2013-14,9.70,1097839.00,113214.00
Aberdeen City,CORP04,2014-15,9.06,1031509.00,113872.00
Aberdeen City,CORP04,2015-16,9.85,1129835.00,114712.00
Aberdeen City,CORP04,2016-17,8.32,966148.00,116173.00
Aberdeen City,CORP04,2017-18,7.92,931145.00,117636.00
Aberdeen City,CORP04,2018-19,7.20,854379.00,118711.00
Aberdeen City,CORP04,2019-20,7.28,875337.00,120221.00
Aberdeen City,CORP04,2020-21,7.19,872991.00,121381.00
Aberdeen City,CORP04,2021-22,7.25,891959.00,122963.00
Aberdeen City,CORP04,2022-23,6.78,841072.00,124025.00
Aberdeen City,CORP06a,2010-11,6.92,9353.00,1352.00
Aberdeen City,CORP06a,2011-12,6.74,9131.00,1355.00
Aberdeen City,CORP06a,2012-13,6.69,9041.00,1352.00
Aberdeen City,CORP06a,2013-14,6.70,8974.00,1339.00
Aberdeen City,CORP06a,2014-15,5.57,8416.00,1510.00
Aberdeen City,CORP06a,2015-16,5.67,8512.00,1502.00
Aberdeen City,CORP06a,2016-17,6.10,8972.00,1470.00
Aberdeen City,CORP06a,2017-18,4.83,8196.00,1696.00
Aberdeen City,CORP06a,2018-19,4.87,8151.00,1675.00
Aberdeen City,CORP06a,2019-20,5.37,8979.00,1672.00
Aberdeen City,CORP06a,2020-21,4.16,7185.00,1728.00
Aberdeen City,CORP06a,2021-22,5.56,9842.00,1770.00
Aberdeen City,CORP06a,2022-23,6.51,11581.00,1778.00
Aberdeen City,CORP06b,2010-11,15.91,73603.00,4627.00
Aberdeen City,CORP06b,2011-12,13.05,58006.00,4445.00
Aberdeen City,CORP06b,2012-13,13.37,60978.00,4561.00
Aberdeen City,CORP06b,2013-14,12.69,52454.00,4134.00
Aberdeen City,CORP06b,2014-15,11.24,49152.00,4373.00
Aberdeen City,CORP06b,2015-16,11.97,54354.00,4542.00
Aberdeen City,CORP06b,2016-17,11.60,54563.00,4702.00
Aberdeen City,CORP06b,2017-18,11.65,59668.00,5122.00
Aberdeen City,CORP06b,2018-19,11.87,58310.00,4913.00
Aberdeen City,CORP06b,2019-20,11.30,54417.00,4816.00
Aberdeen City,CORP06b,2020-21,10.32,50010.00,4845.00
Aberdeen City,CORP06b,2021-22,13.85,68479.00,4943.00
Aberdeen City,CORP06b,2022-23,15.22,76834.00,5048.00
Aberdeen City,CORP07,2010-11,0.93,93663805.00,100348235.00
Aberdeen City,CORP07,2011-12,0.94,94788171.00,101169508.00
Aberdeen City,CORP07,2012-13,0.94,96918213.00,102898481.00
Aberdeen City,CORP07,2013-14,0.94,98353855.00,105003266.00
Aberdeen City,CORP07,2014-15,0.95,101033059.00,106916029.00
Aberdeen City,CORP07,2015-16,0.95,101675383.00,107531934.00
Aberdeen City,CORP07,2016-17,0.95,101042828.00,106189619.00
Aberdeen City,CORP07,2017-18,0.95,107142265.00,112827839.00
Aberdeen City,CORP07,2018-19,0.95,110800363.00,117139771.00
Aberdeen City,CORP07,2019-20,0.94,117031098.00,125062736.00
Aberdeen City,CORP07,2020-21,0.92,119395807.00,129975737.00
Aberdeen City,CORP07,2021-22,0.93,122434102.03,131942512.36
Aberdeen City,CORP07,2022-23,0.94,128715225.18,136591128.66
Aberdeen City,CORP08,2010-11,0.84,78036.00,92907.00
Aberdeen City,CORP08,2011-12,0.95,83730.00,88025.00
Aberdeen City,CORP08,2012-13,0.99,178163.00,180294.00
Aberdeen City,CORP08,2013-14,0.99,163494.00,164934.00
